config,seed,test_accuracy,train_accuracy,sparsity,recon_mse_l0,recon_mse_l1,recon_mse_l2,n_params
Exp1-Random-Embedding,42,0.428,0.473,0.0,nan,nan,nan,16
Exp1-Random-Embedding,43,0.452,0.489,0.0,nan,nan,nan,16
Exp1-Random-Embedding,44,0.412,0.458,0.0,nan,nan,nan,16
Exp1-Random-Embedding,45,0.438,0.487,0.0,nan,nan,nan,16
Exp1-Random-Embedding,46,0.438,0.461,0.0,nan,nan,nan,16
Exp2-Single-Layer,42,0.402,0.422,0.0,0.001982219049151042,nan,nan,432
Exp2-Single-Layer,43,0.378,0.417,0.0,0.00035094719406844843,nan,nan,432
Exp2-Single-Layer,44,0.356,0.362,0.0,0.0007605164453765961,nan,nan,432
Exp2-Single-Layer,45,0.402,0.418,0.0,0.0023887123924577164,nan,nan,432
Exp2-Single-Layer,46,0.45,0.452,0.0,0.00017052675734331352,nan,nan,432
Exp3-Simultaneous,42,0.404,0.47,0.0038583333333333334,0.012718688220466363,0.025208057275301565,0.030582986864455125,3616
Exp3-Simultaneous,43,0.406,0.466,0.0033916666666666665,0.014271027924756931,0.048425575636642355,0.037035070129168554,3616
Exp3-Simultaneous,44,0.388,0.389,0.0011916666666666666,0.012757740789417441,0.01728884321305628,0.011550689194505824,3616
Exp3-Simultaneous,45,0.498,0.527,0.0013666666666666666,0.011819499292910695,0.03719625254038172,0.05648544515599653,3616
Exp3-Simultaneous,46,0.38,0.425,0.0012,0.013041428000194111,0.009242295163317545,0.005915780154886067,3616
Exp4-Predictive-Coding,42,0.388,0.409,0.783,0.02496742891079031,0.021006269676061506,0.003118342194393907,3616
Exp4-Predictive-Coding,43,0.486,0.552,0.6371166666666667,0.027845125014710932,0.05223668006277122,0.016532095964182127,3616
Exp4-Predictive-Coding,44,0.308,0.349,0.737225,0.03320306313584314,0.00618203313826935,0.002490313288838547,3616
Exp4-Predictive-Coding,45,0.526,0.565,0.6741666666666667,0.052612686595042486,0.0484782366280202,0.02919561702437341,3616
Exp4-Predictive-Coding,46,0.2,0.2,0.7916666666666666,0.0555715534289354,0.011870198133243274,2.2255194419951278e-05,3616
Exp5-Strong-L1,42,0.354,0.432,0.004441666666666667,0.0344664482229867,0.0414157882825948,0.010667080177518,3616
Exp5-Strong-L1,43,0.362,0.398,0.004008333333333333,0.05830826259863627,0.037261189035308305,0.012588771003774039,3616
Exp5-Strong-L1,44,0.372,0.38,0.003325,0.016281350124028513,0.011084078483156797,0.0094792786621789,3616
Exp5-Strong-L1,45,0.422,0.457,0.005241666666666667,0.055394393965606095,0.029134736879315407,0.025251139905819554,3616
Exp5-Strong-L1,46,0.346,0.395,0.002108333333333333,0.04253110057842462,0.021277209235681868,0.016049375719405533,3616
