config,seed,test_accuracy,train_accuracy,sparsity,n_params
P1-B-JEPA-d8,42,0.658,0.727,0.0,1264
P1-B-JEPA-d8,43,0.594,0.69,0.0,1264
P1-B-JEPA-d8,44,0.648,0.736,0.0,1264
P1-B-JEPA-d8,45,0.648,0.731,0.0,1264
P1-B-JEPA-d8,46,0.558,0.645,0.000525,1264
P1-B-Contrastive-d8,42,0.556,0.578,0.000775,1264
P1-B-Contrastive-d8,43,0.532,0.609,0.0,1264
P1-B-Contrastive-d8,44,0.454,0.472,0.002425,1264
P1-B-Contrastive-d8,45,0.47,0.521,0.0,1264
P1-B-Contrastive-d8,46,0.52,0.57,0.002425,1264
P1-B-SFA-d8,42,0.434,0.51,0.000375,1264
P1-B-SFA-d8,43,0.406,0.433,0.0,1264
P1-B-SFA-d8,44,0.612,0.616,0.0,1264
P1-B-SFA-d8,45,0.556,0.589,0.0,1264
P1-B-SFA-d8,46,0.52,0.564,0.0,1264
P1-B-Hebbian-d8,42,0.278,0.316,0.0,1264
P1-B-Hebbian-d8,43,0.2,0.2,0.0,1264
P1-B-Hebbian-d8,44,0.234,0.232,0.0,1264
P1-B-Hebbian-d8,45,0.23,0.222,0.0,1264
P1-B-Hebbian-d8,46,0.256,0.212,0.0,1264
P1-B-JEPA-d16,42,0.678,0.805,0.0,4832
P1-B-JEPA-d16,43,0.636,0.803,0.0,4832
P1-B-JEPA-d16,44,0.654,0.801,0.0,4832
P1-B-JEPA-d16,45,0.634,0.814,0.000175,4832
P1-B-JEPA-d16,46,0.658,0.802,0.0,4832
Untrained-d8,42,0.44,0.491,0.0,1264
Untrained-d8,43,0.504,0.598,0.003475,1264
Untrained-d8,44,0.5,0.544,0.000525,1264
Untrained-d8,45,0.418,0.462,0.003725,1264
Untrained-d8,46,0.446,0.51,0.00075,1264
Untrained-d16,42,0.548,0.562,0.0011,4832
Untrained-d16,43,0.5,0.622,0.004,4832
Untrained-d16,44,0.612,0.652,0.0005875,4832
Untrained-d16,45,0.464,0.534,0.0,4832
Untrained-d16,46,0.606,0.651,0.000375,4832
