condition,seed,use_pooled_vicreg,readout_type,train_acc,test_acc,final_spatial_jepa_loss,final_temporal_jepa_loss,final_pooled_std,final_pooled_var_loss,final_pooled_cov_loss,training_time_sec,param_count,class_0_acc,class_1_acc,class_2_acc,class_3_acc
P3-C,42,False,pooled,0.445,0.4425,18.5220831863055,9.01534186603424,0.07274529323071374,0.0,0.0,207.83137488365173,1600,0.61,0.19,0.28,0.69
P3-C,43,False,pooled,0.46,0.4375,18.20115307223184,8.72085126153079,0.07039510208025884,0.0,0.0,207.8235673904419,1600,0.66,0.27,0.18,0.64
P3-C,44,False,pooled,0.44625,0.425,17.8839849236025,9.036962313604981,0.08839668914997581,0.0,0.0,204.7143087387085,1600,0.56,0.22,0.17,0.75
P3-C,45,False,pooled,0.47125,0.44,17.967081227982135,8.737349206686439,0.060122353015351626,0.0,0.0,206.87844610214233,1600,0.53,0.35,0.19,0.69
P3-C,46,False,pooled,0.47375,0.455,17.826281955757924,8.749240343722498,0.06931246457443763,0.0,0.0,205.30752515792847,1600,0.56,0.34,0.19,0.73
P3-C,42,False,spatial_pooled_then_flat,0.85125,0.535,18.5220831863055,9.01534186603424,0.07274529323071374,0.0,0.0,206.5513141155243,1600,0.43,0.56,0.42,0.73
P3-C,43,False,spatial_pooled_then_flat,0.8475,0.5725,18.20115307223184,8.72085126153079,0.07039510208025884,0.0,0.0,209.53504729270935,1600,0.51,0.58,0.54,0.66
P3-C,44,False,spatial_pooled_then_flat,0.89125,0.5075,17.8839849236025,9.036962313604981,0.08839668914997581,0.0,0.0,209.22676801681519,1600,0.37,0.52,0.47,0.67
P3-C,45,False,spatial_pooled_then_flat,0.87,0.5275,17.967081227982135,8.737349206686439,0.060122353015351626,0.0,0.0,210.36021494865417,1600,0.54,0.54,0.4,0.63
P3-C,46,False,spatial_pooled_then_flat,0.81,0.5325,17.826281955757924,8.749240343722498,0.06931246457443763,0.0,0.0,210.15471839904785,1600,0.42,0.61,0.39,0.71
P3-C,42,True,pooled,0.50625,0.49,18.56153773681181,9.259690593585606,0.12100194626454026,0.8789980537354598,0.001637913380239671,207.07894206047058,1600,0.73,0.26,0.27,0.7
P3-C,43,True,pooled,0.52875,0.53,18.227227928974024,9.132638163290931,0.13158482887957126,0.8684151711204287,0.00287359861965424,217.33204102516174,1600,0.74,0.43,0.26,0.69
P3-C,44,True,pooled,0.4775,0.4775,17.930501502584868,9.4033848533364,0.14261169108926033,0.8573883089107397,0.003849013495436639,208.14183378219604,1600,0.68,0.27,0.21,0.75
P3-C,45,True,pooled,0.46875,0.4325,17.986820311110762,9.218351938957635,0.13203897778437595,0.867961022215624,0.0030004626300705506,218.51389384269714,1600,0.6,0.31,0.12,0.7
P3-C,46,True,pooled,0.52,0.5275,17.858411360146967,9.316869914160893,0.12353603861439841,0.8764639613856016,0.001911799095862761,211.17954111099243,1600,0.69,0.48,0.23,0.71
P3-C,42,True,spatial_pooled_then_flat,0.86625,0.58,18.56153773681181,9.259690593585606,0.12100194626454026,0.8789980537354598,0.001637913380239671,220.8111698627472,1600,0.55,0.55,0.46,0.76
P3-C,43,True,spatial_pooled_then_flat,0.9075,0.6825,18.227227928974024,9.132638163290931,0.13158482887957126,0.8684151711204287,0.00287359861965424,210.60131096839905,1600,0.69,0.68,0.61,0.75
P3-C,44,True,spatial_pooled_then_flat,0.90625,0.595,17.930501502584868,9.4033848533364,0.14261169108926033,0.8573883089107397,0.003849013495436639,221.23285055160522,1600,0.58,0.65,0.47,0.68
P3-C,45,True,spatial_pooled_then_flat,0.87625,0.57,17.986820311110762,9.218351938957635,0.13203897778437595,0.867961022215624,0.0030004626300705506,207.88171339035034,1600,0.59,0.6,0.42,0.67
P3-C,46,True,spatial_pooled_then_flat,0.855,0.65,17.858411360146967,9.316869914160893,0.12353603861439841,0.8764639613856016,0.001911799095862761,219.5807044506073,1600,0.58,0.77,0.55,0.7
Untrained,42,False,pooled,0.44625,0.4625,22.12095634064908,20.35659528017769,0.032262264430044804,0.0,0.0,173.0732080936432,1600,0.5,0.62,0.07,0.66
Untrained,43,False,pooled,0.405,0.385,21.269436783452495,19.65447365180264,0.026796829085009306,0.0,0.0,172.62824320793152,1600,0.67,0.17,0.02,0.68
Untrained,44,False,pooled,0.39125,0.42,20.775776688393513,19.333570617807926,0.028414963268852227,0.0,0.0,173.4018738269806,1600,0.66,0.11,0.21,0.7
Untrained,45,False,pooled,0.38875,0.38,20.26828855216629,18.94055285470969,0.04140925746982736,0.0,0.0,174.59412670135498,1600,0.25,0.5,0.1,0.67
Untrained,46,False,pooled,0.4225,0.4225,20.020901358376847,19.37503941642241,0.02616087089205804,0.0,0.0,175.58829069137573,1600,0.46,0.47,0.01,0.75
Untrained,42,False,spatial_pooled_then_flat,0.66375,0.565,22.12095634064908,20.35659528017769,0.032262264430044804,0.0,0.0,172.7602322101593,1600,0.58,0.51,0.37,0.8
Untrained,43,False,spatial_pooled_then_flat,0.61875,0.5425,21.269436783452495,19.65447365180264,0.026796829085009306,0.0,0.0,174.13092613220215,1600,0.49,0.61,0.28,0.79
Untrained,44,False,spatial_pooled_then_flat,0.6625,0.48,20.775776688393513,19.333570617807926,0.028414963268852227,0.0,0.0,171.51345801353455,1600,0.5,0.47,0.32,0.63
Untrained,45,False,spatial_pooled_then_flat,0.625,0.49,20.26828855216629,18.94055285470969,0.04140925746982736,0.0,0.0,175.06510138511658,1600,0.45,0.54,0.3,0.67
Untrained,46,False,spatial_pooled_then_flat,0.62875,0.5275,20.020901358376847,19.37503941642241,0.02616087089205804,0.0,0.0,170.8597333431244,1600,0.38,0.66,0.34,0.73
