seed,baseline_name,train_acc,test_acc
42,temporal_average,0.3575,0.3
42,single_frame_t0,0.325,0.2375
42,single_frame_t8,0.33125,0.2525
42,single_frame_t16,0.43,0.395
42,single_frame_t24,0.3175,0.285
42,single_frame_t31,0.33625,0.2525
43,temporal_average,0.39375,0.3425
43,single_frame_t0,0.30625,0.2375
43,single_frame_t8,0.34625,0.325
43,single_frame_t16,0.43875,0.3425
43,single_frame_t24,0.36,0.2675
43,single_frame_t31,0.355,0.2675
44,temporal_average,0.40625,0.365
44,single_frame_t0,0.29875,0.2225
44,single_frame_t8,0.34125,0.3125
44,single_frame_t16,0.4225,0.3675
44,single_frame_t24,0.345,0.2475
44,single_frame_t31,0.34625,0.2675
45,temporal_average,0.37875,0.2725
45,single_frame_t0,0.31875,0.2275
45,single_frame_t8,0.34875,0.3025
45,single_frame_t16,0.44,0.3725
45,single_frame_t24,0.3225,0.2975
45,single_frame_t31,0.35375,0.2875
46,temporal_average,0.4025,0.35
46,single_frame_t0,0.3375,0.2275
46,single_frame_t8,0.36,0.3175
46,single_frame_t16,0.43375,0.38
46,single_frame_t24,0.33625,0.28
46,single_frame_t31,0.3375,0.2825
