objective,seed,use_pooled_vicreg,train_acc,test_acc,class_0_acc,class_1_acc,class_2_acc,class_3_acc,final_loss,final_pooled_std,training_time_sec
jepa,42,False,0.85125,0.535,0.43,0.56,0.42,0.73,12.328146985021418,0.08060343485252337,92.53555202484131
jepa,43,False,0.8475,0.5725,0.51,0.58,0.54,0.66,12.11238373094819,0.07254621590554723,92.6222825050354
jepa,44,False,0.89125,0.5075,0.37,0.52,0.47,0.67,12.1422685814893,0.09293006322805783,93.01052236557007
jepa,45,False,0.87,0.5275,0.54,0.54,0.4,0.63,11.994221143415238,0.06142568290929854,92.61959743499756
jepa,46,False,0.81,0.5325,0.42,0.61,0.39,0.71,12.040955837322795,0.07127831702847146,92.67203974723816
jepa,42,True,0.86625,0.58,0.55,0.55,0.46,0.76,12.629791760230383,0.12024336616218995,93.326336145401
jepa,43,True,0.9075,0.6825,0.69,0.68,0.61,0.75,12.524601616104025,0.1300377987244306,93.07983231544495
jepa,44,True,0.90625,0.595,0.58,0.65,0.47,0.68,12.497460131053783,0.14524518677774353,93.591872215271
jepa,45,True,0.87625,0.57,0.59,0.6,0.42,0.67,12.458110079726241,0.13122906028114675,93.2849805355072
jepa,46,True,0.855,0.65,0.58,0.77,0.55,0.7,12.395969053134268,0.11986250582607678,96.1771149635315
sfa,42,False,0.25,0.25,0.0,1.0,0.0,0.0,2.7868033147104363e-05,0.0015599877335978874,43.27250099182129
sfa,43,False,0.25,0.25,1.0,0.0,0.0,0.0,2.6993475720157247e-05,0.0010574886186419273,51.45107364654541
sfa,44,False,0.25,0.25,0.0,0.0,0.0,1.0,5.615805703307413e-05,0.002098347191027446,40.71402025222778
sfa,45,False,0.25,0.25,0.0,1.0,0.0,0.0,0.00010463571378758002,0.0053513767141297386,41.0935435295105
sfa,46,False,0.25,0.25,0.0,0.0,0.0,1.0,6.132862194805699e-05,0.0030494990859336354,41.10657501220703
sfa,42,True,0.8875,0.845,0.86,0.84,0.77,0.91,0.09941001208337032,0.3229918914635013,41.9761438369751
sfa,43,True,0.9275,0.83,0.83,0.87,0.76,0.86,0.10888205204933368,0.34187973016108075,42.11012029647827
sfa,44,True,0.92,0.805,0.77,0.84,0.78,0.83,0.09856762357204718,0.33617457244548654,42.31311225891113
sfa,45,True,0.91625,0.85,0.84,0.84,0.82,0.9,0.10734374714548284,0.34179080164014525,42.44219970703125
sfa,46,True,0.85,0.7775,0.77,0.85,0.66,0.83,0.11181925868642441,0.346370357760203,42.26669263839722
hebbian,42,False,0.68125,0.51,0.38,0.49,0.47,0.7,-18.233598557477798,0.14664356566649578,45.994596004486084
hebbian,43,False,0.455,0.3725,0.44,0.27,0.24,0.54,-20.845298388463,0.042823335941685206,46.152515172958374
hebbian,44,False,0.70375,0.45,0.41,0.6,0.35,0.44,-18.749579651106647,0.12078040512617436,46.19887042045593
hebbian,45,False,0.70625,0.4875,0.49,0.53,0.35,0.58,-19.469148855342105,0.23933932683477613,46.63142418861389
hebbian,46,False,0.455,0.375,0.36,0.21,0.27,0.66,-21.511933559179656,0.26692625575646933,46.01709866523743
hebbian,42,True,0.67,0.505,0.48,0.46,0.34,0.74,-18.56033855753217,0.24963521435263855,46.71412777900696
hebbian,43,True,0.67625,0.5025,0.47,0.47,0.41,0.66,-20.094356519051246,0.30979929550453866,46.84780025482178
hebbian,44,True,0.7975,0.5525,0.53,0.66,0.47,0.55,-18.880145570351544,0.2661234081239234,46.7313392162323
hebbian,45,True,0.7425,0.4975,0.53,0.51,0.32,0.63,-19.25497029328732,0.2607335744647164,46.79929518699646
hebbian,46,True,0.44875,0.37,0.35,0.18,0.27,0.68,-21.394543018338258,0.26769683611757783,46.697632789611816
recon,42,False,0.36375,0.3625,0.0,0.62,0.79,0.04,0.008511068469498994,0.015175051281223846,72.0247278213501
recon,43,False,0.53625,0.525,0.32,0.63,0.33,0.82,0.01235832673264835,0.015201603381946795,71.99308490753174
recon,44,False,0.60875,0.4925,0.4,0.55,0.34,0.68,0.013702597860679032,0.03697787048353045,72.18644833564758
recon,45,False,0.63625,0.55,0.51,0.65,0.34,0.7,0.013450745230322105,0.047335412449216414,72.1551742553711
recon,46,False,0.58625,0.5475,0.33,0.63,0.38,0.85,0.014986451926202805,0.026311558639417566,72.47962951660156
recon,42,True,0.89125,0.84,0.85,0.81,0.8,0.9,0.06699721037352785,0.3192798805845905,73.12817668914795
recon,43,True,0.93,0.8625,0.88,0.93,0.78,0.86,0.09801581086070733,0.3392875934782737,74.29295086860657
recon,44,True,0.9175,0.81,0.77,0.83,0.8,0.84,0.08495333017755888,0.3346404599779405,73.14210152626038
recon,45,True,0.91,0.83,0.8,0.84,0.78,0.9,0.08983619912014287,0.3431633029057381,73.15626692771912
recon,46,True,0.88125,0.8075,0.79,0.9,0.7,0.84,0.10107640402034933,0.33953243144259887,73.35145092010498
untrained,42,False,0.66375,0.565,0.58,0.51,0.37,0.8,0.0,0.021211874180551052,0.06093478202819824
untrained,43,False,0.61875,0.5425,0.49,0.61,0.28,0.79,0.0,0.01658089331818608,0.048555850982666016
untrained,44,False,0.6625,0.48,0.5,0.47,0.32,0.63,0.0,0.015550195306696508,0.06434082984924316
untrained,45,False,0.625,0.49,0.45,0.54,0.3,0.67,0.0,0.02077225500502747,0.0579681396484375
untrained,46,False,0.62875,0.5275,0.38,0.66,0.34,0.73,0.0,0.01356627320891741,0.050276994705200195
