variant,seed,test_acc,train_acc,overall_consistency,within_layer_consistency,cross_layer_consistency,anchored_consistency,free_consistency,final_loss,anchor_loss,dis_loss,pooled_std,training_time_sec,training_gain
P5-A,42,0.84,0.89125,0.7402872372731994,0.9735119047619047,0.6666666666666666,nan,nan,0.06699721037352785,0.0,0.0,0.3192798805845905,74.54919362068176,nan
P5-A,43,0.8625,0.93,0.7079439839972648,0.9828869047619048,0.625,nan,nan,0.09801581086070733,0.0,0.0,0.3392875934782737,75.00102138519287,nan
P5-A,44,0.81,0.9175,0.7134038599179777,0.9575740231990233,0.5238095238095237,nan,nan,0.08495333017755888,0.0,0.0,0.3346404599779405,75.05169630050659,nan
P5-A,45,0.83,0.91,0.7373675609491235,0.9899305555555555,0.5833333333333333,nan,nan,0.08983619912014287,0.0,0.0,0.3431633029057381,74.8429925441742,nan
P5-A,46,0.8075,0.88125,0.671967438281043,0.9642361111111111,0.5,nan,nan,0.10107640402034933,0.0,0.0,0.33953243144259887,74.69778418540955,nan
P5-B,42,0.81,0.8875,0.7415913654618473,0.9791666666666666,0.5833333333333333,0.689859437751004,0.7651058780576854,0.062245663831306954,0.13310426111132612,0.0,0.3137184511870983,87.07059288024902,nan
P5-B,43,0.8475,0.92625,0.7008929701398632,0.9742063492063492,0.5555555555555555,0.6091365461847389,0.7426004355740105,0.09270448966794222,0.13321379607226844,0.0,0.33632958120041273,87.28517889976501,nan
P5-B,44,0.7975,0.91,0.7181902193187306,0.9662049755799756,0.5238095238095236,0.6671855260236927,0.7413741708164753,0.0786476494702725,0.1221512888371903,0.0,0.33207712540287015,87.53391528129578,nan
P5-B,45,0.845,0.91625,0.7805793491330093,0.9888392857142857,0.5416666666666666,0.7743398935106944,0.7834154653249705,0.08320617359286399,0.14753090705412894,0.0,0.3400265740398789,94.79963302612305,nan
P5-B,46,0.7975,0.87125,0.6893436099084314,0.9580853174603176,0.4666666666666666,0.761847389558233,0.6563873464312489,0.09662262079171416,0.1283721240408789,0.0,0.33944590097968624,92.73864078521729,nan
P5-C,42,0.8375,0.89,0.7580948795180724,0.9890873015873017,0.6666666666666666,nan,nan,0.06534958003119719,0.0,0.004251590373067887,0.31648608615371293,88.1858332157135,nan
P5-C,43,0.8575,0.93125,0.7036140544095014,0.9841269841269842,0.625,nan,nan,0.09618881385370527,0.0,0.0032468074363980587,0.338511550272084,89.02950811386108,nan
P5-C,44,0.8075,0.92,0.6950778448374496,0.9612599206349207,0.47619047619047616,nan,nan,0.08401753828045054,0.0,0.003220159303516992,0.3340229906781001,89.45368480682373,nan
P5-C,45,0.825,0.90875,0.7348499392843362,0.9776334776334776,0.5833333333333333,nan,nan,0.08818204431859808,0.0,0.0033863519538881587,0.34275128002957145,91.00187492370605,nan
P5-C,46,0.8,0.88125,0.6670036253611732,0.9699404761904762,0.375,nan,nan,0.09948468524188311,0.0,0.00325447520545056,0.3406074716512577,90.8301830291748,nan
untrained,42,0.565,0.66375,0.7569425600657956,0.9640462374504929,0.5238095238095237,nan,nan,0.0,0.0,0.0,0.0,0.0,nan
untrained,43,0.5425,0.61875,0.6329140507138544,0.9699470899470899,0.38888888888888884,nan,nan,0.0,0.0,0.0,0.0,0.0,nan
untrained,44,0.48,0.6625,0.6817930477682627,0.9174948240165631,0.36363636363636365,nan,nan,0.0,0.0,0.0,0.0,0.0,nan
untrained,45,0.49,0.625,0.6183375348070561,0.9367322291235335,0.44444444444444436,nan,nan,0.0,0.0,0.0,0.0,0.0,nan
untrained,46,0.5275,0.62875,0.6857863575260068,0.9303659697276718,0.5151515151515151,nan,nan,0.0,0.0,0.0,0.0,0.0,nan
